Name,Publication Date,Message,Reactions Count,LIKE,LABEL
Jamalludin,07/04/2020 08:35:45,"Haha😄,,Buat para Cewe Baca tuh👇!.",4,4,1
アフマド レザ,07/08/2020 16:50:17,Gua masih setia sm LifebuoyKalian apa?,6,6,0
Kaa Sayank,07/11/2020 11:57:05,.✪𝕣𝕖𝕓𝕦𝕥 𝕤𝕒𝕛𝕒 𝕛𝕚𝕜𝕒✪☞▉▂◤◢◥◣▉┆▉☜☞▉▔◣◥▔◤◥◣◤☜◥◣▂𝕄𝔸𝕄ℙ𝕌▂◢◤✰𝑫𝒂𝒏 𝒂𝒌𝒂𝒏 𝒌𝒖 𝒍𝒆𝒑𝒂𝒔 𝒋𝒊𝒌𝒂✰┆☞▉◥◣◈◢◥◣☜┆┆☞▉◢◤▉◥▔◤☜┆◥◣▂▂𝑴𝑨𝑼▂▂◢◤✰𝑮𝑼𝑬✰☟☟☟☟☟☟☟☟☟▉◥◣◢◥◣▉◢◥◣◢◥◣▉◢◤▉◈▉▉◥◣◤◥▉◣▉┆┆◥◣◤◥▂◣    ◥◣◤◥◣▁☞𝕃𝕆 𝔹𝕌𝕃𝕃𝕐☜▁◢◤✰𝑮𝑼𝑬✰☟☟☟☟☟☟☟☟☟◢◣◢◢◥◣▉◢◤◢◥◣▉▉▉▉◥▔◤◥◥◣◥▔◤▉◤◥◤☞𝕃𝕆 𝕆𝕄𝕆ℕ𝔾𝕀ℕ☜ ◥▂◣✰𝑮𝑼𝑬✰☟☟☟☟☟☟☟☟☟▉◥◣    ◢◥◣   ✰   ◢┆◣▉〓▉    ◥▔◤   ▉   ▉◢◤▉◢◤𝑳𝒐 𝑴𝒂𝒏𝒇𝒂𝒂𝒕𝒊𝒏◥◥◣☟☟☟☟☟☟☟☟☟𝑰𝑵𝑮𝑨𝑻 𝑩𝑹𝑶 𝑳𝑶 𝑴𝑨𝑻𝑰 𝑮𝑼𝑬▉◥◣◢◥◣▉▔◣◤▉◥▉◢◤▉▂▉▉▂◤┆▉✰▉🄲🄾◥🅈◤◥◥◣┆◤▉◢▂▂▂▂◤✇◥▂▂▂▂◣..◢◤▔▔\.▉✰◢✪𝕁𝕆𝕄𝔹𝕃𝕆✪◤✰▉▉♡▁▁▁☟▁▁▁▁♡▉ ◥▂◣❦ℍ𝔼ℙℙ𝕐❦◢▂◤..◥◣▁▁/◥◤\𝐦𝐚𝐥𝐚𝐬 𝐟𝐛 𝐦𝐮𝐥𝐮 𝐦𝐚𝐛𝐚𝐫 𝐜𝐮𝐲.◢▂▂▂▂▂◤✰◥▂▂▂▂▂◣◢▔◤▉✰𝑷𝑬𝑪𝑨𝑵𝑫𝑼 𝑯𝑷✰▉◥▔◣◣◢◣◢ ◣▉◥◣◣ ◢◣◣◢◥◣▉◥◤▉ ▉▉◢◤▉ ▉▉▉◥▂▉◥┆┆◤ ◥◥◥◣◥ ◤◥◤◥▂◤◥▔▔▔▔▔◣🅵🅵◢▔▔▔▔▔◤J͟a͟n͟g͟a͟n͟ s͟o͟ c͟a͟n͟t͟q͟ s͟a͟y͟a͟n͟g͟ k͟i͟t͟a͟ c͟u͟m͟a͟ b͟e͟d͟a͟ b͟e͟d͟a͟k͟ a͟k͟u͟ b͟e͟d͟a͟k͟ m͟y͟ b͟a͟b͟y͟ k͟a͟l͟o͟ k͟a͟m͟u͟ b͟e͟d͟a͟k͟ t͟e͟p͟u͟n͟g͟ r͟o͟t͟i͟ a͟w͟:v͟∅∅∅★☆Ĥèáđśĥøť☆★∅∅∅ ╭╮╮╱▔▔▔▔╲╭╭╮ ╰╲╲▏▂╲╱▂▕╱╱╯ ┈┈╲▏▇▏▕▇▕╱┈┈ ┈┈╱╲▔▕▍▔╱╲┈┈ ╭╱╱▕╋╋╋╋▏╲╲╮  ╰╯╯┈╲▂▂╱┈╰╰╯ ◢▅▅▅▅▅▅▅▅▅▅◣~in,13,12,1
Kaa Sayank,07/11/2020 11:57:14,Balaan tuh😁,49,49,0
Apriliani,07/11/2020 20:22:37,"BUTUH DANA 💰Lansung cair sekarang juga 💸Solusinya di tempat kami, Bunga ringan, Syarat mudah NOTE : langsung chat 📲WA: 0831 3999 6977Mohon ijin..Promosi Pinjaman Uang Mari yang membutuhkan Dana cepat●Untuk Modal Usaha●Untuk Biaya Sekolah●Untuk Biaya Rumah Sakit●dll.",0,0,0
Risti Yani,07/11/2020 20:22:37,UlAR BERKAKI DUA Di TEMUKAN secara misterius,0,0,0
Indah Putri Lestari,07/11/2020 20:22:37,[🔴LIVE NOW]Sunda Rese Klarifikasi👻#EPS 006,0,0,0
Indah Putri Lestari,07/11/2020 20:22:37,[🔴LIVE NOW]  Special Live Gorobas Ghost X Ghost Waas Sunda Spot Terseram Se Bandung Selatan👻#SundaRese212🦉#Pantau_Sampai_Nampak#SpecialGuveAwayShareTerbayak🎁,0,0,0
Rehan Alika,07/11/2020 20:22:37,https://youtu.be/w8MIDbGCAowYang lagi sange silahkan di tonton kaga bakal nyesel di jamin ngaceng no tipu tipu ko silahkan di tonton,0,0,0
ニックネーム,07/12/2020 17:18:45,Ngepet kali ni orang ya g mikir dulu,6,6,1
